cdf,prefill_time_execution_plus_preemption,replica
0.58,1.0968682135095589,4
0.59,1.1037933076023592,4
0.6,1.1107184016951592,4
0.61,1.1226622903871153,4
0.62,1.1346061790790711,4
0.63,1.146550067771027,4
0.64,1.1584939564629828,4
0.65,1.1704378451549389,4
0.66,1.182381733846895,4
0.67,1.2190531820395683,4
0.68,1.3051797492336759,4
0.6900000000000001,1.3913063164277826,4
0.7000000000000001,1.4774328836218902,4
0.71,1.5635594508159967,4
0.72,1.6496860180101045,4
0.73,1.735812585204212,4
0.74,1.7714563289927265,4
0.75,1.7818586610784442,4
0.76,1.7922609931641618,4
0.77,1.8026633252498792,4
0.78,1.8130656573355968,4
0.79,1.8234679894213144,4
0.8,1.8338703215070318,4
0.81,1.8391411884855435,4
0.8200000000000001,1.8444120554640553,4
0.8300000000000001,1.849682922442567,4
0.84,1.854953789421079,4
0.85,1.8602246563995908,4
0.86,1.8654955233781025,4
0.87,1.932709482366076,4
0.88,2.123809625372968,4
0.89,2.3149097683798625,4
0.9,2.506009911386757,4
0.91,2.6971100543936513,4
0.92,2.8882101974005456,4
0.93,3.07931034040744,4
0.9400000000000001,3.2277958055677383,4
0.9500000000000001,3.354973931804741,4
0.96,3.482152058041742,4
0.97,3.609330184278745,4
0.98,3.736508310515748,4
0.99,3.863686436752751,4
1.0,3.9908645629897537,4
0.0,0.13814017911970922,5
0.01,0.13895417052076273,5
0.02,0.13976816192181624,5
0.03,0.14058215332286977,5
0.04,0.14139614472392328,5
0.05,0.1422101361249768,5
0.06,0.1430241275260303,5
0.07,0.14608797381807723,5
0.08,0.15365152989211098,5
0.09,0.1612150859661447,5
0.1,0.16877864204017845,5
0.11,0.1763421981142122,5
0.12,0.18390575418824592,5
0.13,0.19146931026227967,5
0.14,0.20012800320939947,5
0.15,0.20933426459306226,5
0.16,0.21854052597672505,5
0.17,0.2277467873603879,5
0.18,0.23695304874405065,5
0.19,0.2461593101277135,5
0.2,0.2553655715113763,5
0.21,0.2965316674325513,5
0.22,0.33769776335372637,5
0.23,0.37886385927490157,5
0.24,0.4200299551960765,5
0.25,0.46119605111725165,5
0.26,0.5023621470384269,5
0.27,0.5359811363472833,5
0.28,0.5545059124315025,5
0.29,0.5730306885157216,5
0.3,0.5915554645999409,5
0.31,0.6100802406841602,5
0.32,0.6286050167683793,5
0.33,0.6471297928525986,5
0.34,0.6836577300901493,5
0.35000000000000003,0.7291872479043653,5
0.36,0.7747167657185813,5
0.37,0.8202462835327975,5
0.38,0.8657758013470138,5
0.39,0.91130531916123,5
0.4,0.956834836975446,5
0.41000000000000003,0.9741051449527354,5
0.42,0.9913754529300248,5
0.43,1.0086457609073143,5
0.44,1.0259160688846036,5
0.45,1.0431863768618932,5
0.46,1.0604566848391828,5
0.47000000000000003,1.0741812923504421,5
0.48,1.0808144989296415,5
0.49,1.0874477055088412,5
0.5,1.0940809120880406,5
0.51,1.10071411866724,5
0.52,1.1073473252464396,5
0.53,1.113980531825639,5
0.54,1.1296607687799958,5
0.55,1.1498645209219307,5
0.56,1.1700682730638658,5
0.5700000000000001,1.190272025205801,5
0.58,1.2104757773477357,5
0.59,1.2306795294896709,5
0.6,1.250883281631606,5
0.61,1.269204323005851,5
0.62,1.287525364380096,5
0.63,1.3058464057543409,5
0.64,1.3241674471285858,5
0.65,1.3424884885028308,5
0.66,1.3608095298770757,5
0.67,1.4020642778902996,5
0.68,1.4891864391814806,5
0.6900000000000001,1.5763086004726605,5
0.7000000000000001,1.6634307617638413,5
0.71,1.7505529230550212,5
0.72,1.837675084346202,5
0.73,1.924797245637383,5
0.74,2.016527240790505,5
0.75,2.1105611528745967,5
0.76,2.2045950649586885,5
0.77,2.298628977042781,5
0.78,2.392662889126873,5
0.79,2.486696801210965,5
0.8,2.580730713295056,5
0.81,2.614022337778324,5
0.8200000000000001,2.6473139622615913,5
0.8300000000000001,2.680605586744859,5
0.84,2.7138972112281268,5
0.85,2.7471888357113947,5
0.86,2.7804804601946627,5
0.87,2.847965653082598,5
0.88,2.9838379827798667,5
0.89,3.1197103124771366,5
0.9,3.2555826421744065,5
0.91,3.3914549718716764,5
0.92,3.5273273015689464,5
0.93,3.6631996312662163,5
0.9400000000000001,3.8223096341740472,5
