cdf,request_execution_plus_preemption_time,replica
0.62,16.891711945724914,5
0.63,16.92501755210806,5
0.64,16.958323158491204,5
0.65,16.99162876487435,5
0.66,17.024934371257494,5
0.67,17.04796458508239,5
0.68,17.05044401379078,5
0.6900000000000001,17.05292344249917,5
0.7000000000000001,17.055402871207562,5
0.71,17.05788229991595,5
0.72,17.06036172862434,5
0.73,17.06284115733273,5
0.74,17.107597158899736,5
0.75,17.173491446896048,5
0.76,17.23938573489236,5
0.77,17.305280022888674,5
0.78,17.371174310884985,5
0.79,17.437068598881297,5
0.8,17.502962886877608,5
0.81,18.449506381440457,5
0.8200000000000001,19.396049876003293,5
0.8300000000000001,20.342593370566142,5
0.84,21.28913686512899,5
0.85,22.235680359691838,5
0.86,23.182223854254687,5
0.87,23.854106506322182,5
0.88,23.976667473398983,5
0.89,24.099228440475784,5
0.9,24.221789407552585,5
0.91,24.344350374629382,5
0.92,24.466911341706183,5
0.93,24.589472308782984,5
0.9400000000000001,24.80088729702314,5
0.9500000000000001,25.056729295844974,5
0.96,25.312571294666807,5
0.97,25.568413293488643,5
0.98,25.82425529231048,5
0.99,26.08009729113231,5
1.0,26.335939289954148,5
0.0,1.5957824972368098,6
0.01,1.71531864452479,6
0.02,1.8348547918127702,6
0.03,1.9543909391007506,6
0.04,2.0739270863887307,6
0.05,2.1934632336767113,6
0.06,2.3129993809646914,6
0.07,2.5163324991845566,6
0.08,2.8872595592681916,6
0.09,3.258186619351826,6
0.1,3.629113679435462,6
0.11,4.000040739519097,6
0.12,4.370967799602731,6
0.13,4.741894859686367,6
0.14,5.0269274293582065,6
0.15,5.269012753824148,6
0.16,5.511098078290089,6
0.17,5.753183402756031,6
0.18,5.995268727221972,6
0.19,6.237354051687913,6
0.2,6.479439376153855,6
0.21,6.765272631632877,6
0.22,7.0511058871119,6
0.23,7.336939142590923,6
0.24,7.622772398069944,6
0.25,7.908605653548968,6
0.26,8.194438909027992,6
0.27,8.62653505141229,6
0.28,9.351156967607134,6
0.29,10.075778883801975,6
0.3,10.800400799996822,6
0.31,11.525022716191668,6
0.32,12.24964463238651,6
0.33,12.974266548581356,6
0.34,13.23065934385961,6
0.35000000000000003,13.252937578679571,6
0.36,13.275215813499532,6
0.37,13.297494048319493,6
0.38,13.319772283139452,6
0.39,13.342050517959413,6
0.4,13.364328752779373,6
0.41000000000000003,14.307608939439831,6
0.42,15.250889126100295,6
0.43,16.194169312760756,6
0.44,17.137449499421216,6
0.45,18.08072968608168,6
0.46,19.024009872742145,6
0.47000000000000003,19.76522496236643,6
0.48,20.102309857918364,6
0.49,20.4393947534703,6
0.5,20.77647964902224,6
0.51,21.113564544574178,6
0.52,21.450649440126114,6
0.53,21.78773433567805,6
0.54,22.035799693619186,6
0.55,22.239355282754918,6
0.56,22.44291087189065,6
0.5700000000000001,22.646466461026385,6
0.58,22.850022050162114,6
0.59,23.05357763929785,6
0.6,23.25713322843358,6
0.61,23.274683187516093,6
0.62,23.292233146598605,6
0.63,23.309783105681113,6
0.64,23.327333064763625,6
0.65,23.344883023846137,6
0.66,23.36243298292865,6
0.67,23.421878360300326,6
0.68,23.565114574250334,6
0.6900000000000001,23.70835078820034,6
0.7000000000000001,23.851587002150353,6
0.71,23.99482321610036,6
0.72,24.138059430050372,6
0.73,24.28129564400038,6
0.74,24.345839148404323,6
0.75,24.371036298035236,6
0.76,24.396233447666145,6
0.77,24.421430597297054,6
0.78,24.446627746927966,6
0.79,24.471824896558875,6
0.8,24.497022046189784,6
0.81,24.692146211496635,6
0.8200000000000001,24.887270376803485,6
0.8300000000000001,25.08239454211034,6
0.84,25.27751870741719,6
0.85,25.472642872724045,6
0.86,25.667767038030895,6
0.87,25.845316766130697,6
0.88,25.9877176198164,6
0.89,26.130118473502108,6
0.9,26.272519327187815,6
0.91,26.41492018087352,6
0.92,26.557321034559227,6
0.93,26.69972188824493,6
0.9400000000000001,26.923911697465638,6
0.9500000000000001,27.188995984453847,6
0.96,27.454080271442052,6
0.97,27.719164558430258,6
0.98,27.984248845418467,6
0.99,28.249333132406676,6
1.0,28.514417419394885,6
0.0,3.795396407422049,7
0.01,3.8096307682915858,7
0.02,3.823865129161122,7
0.03,3.8380994900306584,7
0.04,3.8523338509001945,7
0.05,3.866568211769731,7
0.06,3.8808025726392676,7
0.07,4.068221565169215,7
0.08,4.602009821019983,7
0.09,5.135798076870753,7
0.1,5.669586332721522,7
0.11,6.203374588572291,7
0.12,6.73716284442306,7
0.13,7.27095110027383,7
0.14,7.817675239033524,7
0.15,8.370867319247681,7
0.16,8.924059399461838,7
0.17,9.477251479675996,7
0.18,10.030443559890152,7
0.19,10.58363564010431,7
0.2,11.136827720318466,7
0.21,13.379711060344047,7
0.22,15.622594400369627,7
0.23,17.865477740395214,7
0.24,20.108361080420785,7
0.25,22.351244420446374,7
0.26,24.59412776047196,7
0.27,26.286840282878373,7
0.28,26.879211170046446,7
0.29,27.471582057214523,7
0.3,28.063952944382603,7
0.31,28.656323831550683,7
0.32,29.24869471871876,7
0.33,29.841065605886836,7
0.34,30.465103478977877,7
0.35000000000000003,31.104974845030394,7
0.36,31.744846211082912,7
0.37,32.38471757713543,7
0.38,33.02458894318796,7
0.39,33.664460309240475,7
0.4,34.30433167529299,7
0.41000000000000003,34.36031412170842,7
0.42,34.41629656812385,7
0.43,34.47227901453927,7
0.44,34.528261460954695,7
0.45,34.58424390737012,7
0.46,34.64022635378555,7
0.47000000000000003,34.75108133205784,7
0.48,34.97168137404385,7
0.49,35.192281416029864,7
0.5,35.412881458015875,7
0.51,35.63348150000189,7
0.52,35.85408154198791,7
0.53,36.07468158397392,7
0.54,36.56037111104441,7
0.55,37.17860538065713,7
0.56,37.79683965026986,7
0.5700000000000001,38.41507391988259,7
0.58,39.0333081894953,7
0.59,39.65154245910803,7
0.6,40.26977672872076,7
0.61,41.753850651161905,7
0.62,43.23792457360305,7
0.63,44.721998496044186,7
0.64,46.206072418485334,7
0.65,47.69014634092648,7
0.66,49.17422026336763,7
0.67,50.563681141737774,7
0.68,51.76391593196592,7
0.6900000000000001,52.96415072219404,7
0.7000000000000001,54.164385512422186,7
0.71,55.364620302650316,7
0.72,56.56485509287845,7
0.73,57.7650898831066,7
0.74,58.38112022954763,7
0.75,58.70504835409511,7
0.76,59.0289764786426,7
0.77,59.352904603190076,7
0.78,59.676832727737555,7
0.79,60.00076085228503,7
0.8,60.32468897683251,7
0.81,60.34515661370054,7
0.8200000000000001,60.36562425056856,7
0.8300000000000001,60.386091887436585,7
0.84,60.40655952430461,7
0.85,60.42702716117263,7
0.86,60.44749479804066,7
0.87,60.56472004480537,7
0.88,60.87546051136345,7
0.89,61.18620097792154,7
0.9,61.49694144447962,7
0.91,61.8076819110377,7
0.92,62.118422377595785,7
0.93,62.429162844153865,7
0.9400000000000001,63.81258700079904,7
0.9500000000000001,65.73235300248777,7
0.96,67.65211900417648,7
0.97,69.57188500586521,7
0.98,71.49165100755394,7
0.99,73.41141700924268,7
1.0,75.33118301093141,7
