cdf,decode_time_execution_plus_preemption_normalized,replica
0.78,0.0966525136710158,1
0.79,0.09840606224069091,1
0.8,0.10015961081036602,1
0.81,0.10060469688669275,1
0.8200000000000001,0.10104978296301949,1
0.8300000000000001,0.10149486903934624,1
0.84,0.10193995511567297,1
0.85,0.1023850411919997,1
0.86,0.10283012726832645,1
0.87,0.10378461839585693,1
0.88,0.10575791962579484,1
0.89,0.10773122085573276,1
0.9,0.10970452208567069,1
0.91,0.11167782331560863,1
0.92,0.11365112454554656,1
0.93,0.1156244257754845,1
0.9400000000000001,0.11905966827804118,1
0.9500000000000001,0.12322588141690727,1
0.96,0.12739209455577333,1
0.97,0.13155830769463944,1
0.98,0.13572452083350553,1
0.99,0.13989073397237162,1
1.0,0.14405694711123773,1
0.0,0.01715982498164358,2
0.01,0.017476690581419704,2
0.02,0.017793556181195824,2
0.03,0.01811042178097195,2
0.04,0.018427287380748072,2
0.05,0.018744152980524197,2
0.06,0.019061018580300317,2
0.07,0.019336942623396355,2
0.08,0.01953098355313222,2
0.09,0.019725024482868083,2
0.1,0.019919065412603944,2
0.11,0.020113106342339808,2
0.12,0.020307147272075672,2
0.13,0.020501188201811536,2
0.14,0.02058135547894771,2
0.15,0.020604585929784036,2
0.16,0.020627816380620365,2
0.17,0.02065104683145669,2
0.18,0.02067427728229302,2
0.19,0.020697507733129346,2
0.2,0.020720738183965675,2
0.21,0.02125728855037778,2
0.22,0.021793838916789886,2
0.23,0.022330389283201992,2
0.24,0.022866939649614094,2
0.25,0.0234034900160262,2
0.26,0.02394004038243831,2
0.27,0.025020243920974912,2
0.28,0.027187753803760473,2
0.29,0.029355263686546035,2
0.3,0.031522773569331614,2
0.31,0.033690283452117185,2
0.32,0.03585779333490275,2
0.33,0.03802530321768832,2
0.34,0.03896571125083301,2
0.35000000000000003,0.03929256835915725,2
0.36,0.0396194254674815,2
0.37,0.03994628257580574,2
0.38,0.04027313968412998,2
0.39,0.04059999679245423,2
0.4,0.04092685390077847,2
