cdf,request_scheduling_delay,replica
0.8300000000000001,35.84564515380272,3
0.84,35.86256352159365,3
0.85,35.87948188938457,3
0.86,35.89640025717549,3
0.87,35.940508904269294,3
0.88,36.03899810996885,3
0.89,36.13748731566841,3
0.9,36.23597652136796,3
0.91,36.33446572706752,3
0.92,36.432954932767075,3
0.93,36.53144413846663,3
0.9400000000000001,36.61234490317721,3
0.9500000000000001,36.6844514473933,3
0.96,36.75655799160939,3
0.97,36.82866453582548,3
0.98,36.90077108004157,3
0.99,36.97287762425766,3
1.0,37.04498416847375,3
0.0,0.0,4
0.01,0.0,4
0.02,0.0,4
0.03,0.0,4
0.04,0.0,4
0.05,0.0,4
0.06,0.0,4
0.07,0.00021428057845571688,4
0.08,0.0008571223138228665,4
0.09,0.0014999640491900163,4
0.1,0.002142805784557167,4
0.11,0.0027856475199243167,4
0.12,0.003428489255291466,4
0.13,0.004071330990658617,4
0.14,0.21173943498979422,4
0.15,0.5229201701208136,4
0.16,0.834100905251833,4
0.17,1.1452816403828532,4
0.18,1.4564623755138717,4
0.19,1.767643110644892,4
0.2,2.0788238457759114,4
0.21,2.144375195046169,4
0.22,2.209926544316427,4
0.23,2.2754778935866846,4
0.24,2.341029242856942,4
0.25,2.4065805921271997,4
0.26,2.472131941397458,4
0.27,2.5244221016646766,4
0.28,2.5501898839258184,4
0.29,2.5759576661869605,4
0.3,2.6017254484481023,4
0.31,2.627493230709244,4
0.32,2.653261012970386,4
0.33,2.679028795231528,4
0.34,2.6971780781852432,4
0.35000000000000003,2.711518111485246,4
0.36,2.725858144785248,4
0.37,2.74019817808525,4
0.38,2.754538211385252,4
0.39,2.7688782446852547,4
0.4,2.783218277985257,4
0.41000000000000003,2.798728761633937,4
0.42,2.8142392452826175,4
0.43,2.829749728931298,4
0.44,2.845260212579978,4
0.45,2.8607706962286588,4
0.46,2.8762811798773393,4
0.47000000000000003,2.902224680363057,4
0.48,2.9490342145228485,4
0.49,2.995843748682641,4
0.5,3.042653282842433,4
0.51,3.089462817002225,4
0.52,3.1362723511620176,4
0.53,3.1830818853218092,4
0.54,3.227051626541345,4
0.55,3.2696014712907515,4
0.56,3.3121513160401586,4
0.5700000000000001,3.3547011607895656,4
0.58,3.3972510055389717,4
0.59,3.439800850288379,4
0.6,3.482350695037786,4
0.61,3.5221022627030933,4
0.62,3.561853830368401,4
0.63,3.6016053980337084,4
0.64,3.641356965699016,4
0.65,3.6811085333643234,4
0.66,3.720860101029631,4
0.67,3.7551504239624114,4
0.68,3.778518257430138,4
0.6900000000000001,3.8018860908978644,4
0.7000000000000001,3.825253924365591,4
0.71,3.8486217578333175,4
0.72,3.8719895913010443,4
0.73,3.895357424768771,4
0.74,3.9999031698690826,4
0.75,4.145037870785687,4
0.76,4.290172571702293,4
0.77,4.435307272618897,4
0.78,4.580441973535502,4
0.79,4.725576674452107,4
0.8,4.87071137536871,4
0.81,4.974765778934716,4
0.8200000000000001,5.0788201825007215,4
0.8300000000000001,5.182874586066728,4
0.84,5.2869289896327345,4
0.85,5.3909833931987405,4
0.86,5.495037796764747,4
0.87,5.5683662747897005,4
0.88,5.580242901732551,4
0.89,5.5921195286754015,4
0.9,5.603996155618252,4
0.91,5.615872782561103,4
0.92,5.627749409503953,4
0.93,5.639626036446804,4
0.9400000000000001,5.680762278770392,4
0.9500000000000001,5.736528328784351,4
0.96,5.792294378798307,4
0.97,5.848060428812266,4
0.98,5.9038264788262245,4
0.99,5.959592528840182,4
1.0,6.015358578854141,4
0.0,0.0,5
0.01,6.306517451060145e-05,5
0.02,0.0001261303490212029,5
0.03,0.00018919552353180433,5
0.04,0.0002522606980424058,5
0.05,0.00031532587255300726,5
0.06,0.00037839104706360866,5
0.07,0.0007346677509431968,5
0.08,0.0016773675135607566,5
0.09,0.0026200672761783166,5
0.1,0.0035627670387958776,5
0.11,0.004505466801413437,5
0.12,0.005448166564030997,5
0.13,0.00639086632664856,5
0.14,0.006972810330946189,5
0.15,0.007374376456083853,5
0.16,0.007775942581221517,5
0.17,0.008177508706359183,5
0.18,0.008579074831496846,5
0.19,0.008980640956634511,5
0.2,0.009382207081772176,5
0.21,0.009896115475634803,5
0.22,0.01041002386949743,5
0.23,0.01092393226336006,5
0.24,0.011437840657222685,5
0.25,0.011951749051085314,5
0.26,0.012465657444947943,5
0.27,0.029481158737192075,5
0.28,0.07949984582619833,5
0.29,0.1295185329152046,5
0.3,0.17953722000421113,5
0.31,0.22955590709321766,5
0.32,0.2795745941822239,5
0.33,0.3295932812712305,5
0.34,0.522322127829775,5
0.35000000000000003,0.7864060541230864,5
0.36,1.0504899804163976,5
0.37,1.3145739067097106,5
0.38,1.5786578330030236,5
0.39,1.8427417592963367,5
0.4,2.106825685589648,5
0.41000000000000003,2.5352018201597666,5
0.42,2.963577954729888,5
0.43,3.3919540893000093,5
0.44,3.820330223870128,5
0.45,4.2487063584402485,5
0.46,4.67708249301037,5
0.47000000000000003,4.970761557659259,5
0.48,4.995046482465687,5
0.49,5.019331407272116,5
0.5,5.043616332078544,5
0.51,5.067901256884973,5
0.52,5.092186181691401,5
0.53,5.11647110649783,5
0.54,5.165964914067338,5
0.55,5.228063163018383,5
0.56,5.2901614119694305,5
0.5700000000000001,5.352259660920478,5
0.58,5.414357909871524,5
0.59,5.47645615882257,5
0.6,5.538554407773617,5
0.61,5.803638895637535,5
0.62,6.068723383501453,5
0.63,6.333807871365368,5
0.64,6.598892359229286,5
0.65,6.863976847093204,5
0.66,7.129061334957122,5
0.67,7.338775760816339,5
0.68,7.437750062666154,5
0.6900000000000001,7.536724364515969,5
0.7000000000000001,7.635698666365784,5
0.71,7.734672968215599,5
0.72,7.8336472700654145,5
0.73,7.93262157191523,5
0.74,8.321809558420917,5
0.75,8.856104387254543,5
0.76,9.390399216088168,5
0.77,9.924694044921793,5
0.78,10.45898887375542,5
0.79,10.993283702589045,5
0.8,11.527578531422664,5
0.81,11.546180700770192,5
0.8200000000000001,11.564782870117718,5
0.8300000000000001,11.583385039465245,5
0.84,11.601987208812773,5
0.85,11.6205893781603,5
0.86,11.639191547507826,5
0.87,11.669815016089819,5
0.88,11.724481083140741,5
0.89,11.779147150191665,5
0.9,11.83381321724259,5
0.91,11.888479284293512,5
0.92,11.943145351344436,5
0.93,11.997811418395358,5
0.9400000000000001,12.068034501951246,5
0.9500000000000001,12.14603609375962,5
0.96,12.224037685567989,5
0.97,12.30203927737636,5
0.98,12.380040869184732,5
0.99,12.458042460993104,5
1.0,12.536044052801476,5
0.0,0.0,6
0.01,0.04920346515517164,6
0.02,0.09840693031034328,6
0.03,0.1476103954655149,6
0.04,0.19681386062068656,6
0.05,0.24601732577585822,6
0.06,0.2952207909310298,6
0.07,0.328733986360016,6
0.08,0.33086664233663116,6
0.09,0.33299929831324626,6
0.1,0.3351319542898614,6
0.11,0.3372646102664766,6
0.12,0.3393972662430917,6
0.13,0.34152992221970685,6
0.14,0.41555707791832064,6
0.15,0.5255314834779337,6
0.16,0.6355058890375467,6
0.17,0.7454802945971599,6
0.18,0.8554547001567727,6
0.19,0.965429105716386,6
0.2,1.075403511275999,6
0.21,1.159353362250979,6
0.22,1.2433032132259592,6
0.23,1.3272530642009395,6
0.24,1.4112029151759191,6
0.25,1.4951527661508994,6
0.26,1.5791026171258797,6
0.27,1.6374845530588444,6
0.28,1.6447306589077788,6
0.29,1.6519767647567134,6
0.3,1.6592228706056478,6
0.31,1.6664689764545821,6
0.32,1.6737150823035167,6
0.33,1.680961188152451,6
0.34,1.7030770620098565,6
0.35000000000000003,1.7326278198714968,6
0.36,1.7621785777331374,6
0.37,1.791729335594778,6
0.38,1.8212800934564188,6
0.39,1.8508308513180594,6
0.4,1.8803816091796999,6
0.41000000000000003,1.9214434816438406,6
0.42,1.9625053541079815,6
0.43,2.0035672265721227,6
0.44,2.044629099036263,6
0.45,2.085690971500404,6
0.46,2.126752843964545,6
0.47000000000000003,2.1853055377825483,6
0.48,2.2788398743082765,6
0.49,2.372374210834005,6
0.5,2.4659085473597337,6
0.51,2.5594428838854624,6
0.52,2.652977220411191,6
0.53,2.746511556936919,6
0.54,2.8130358854436035,6
0.55,2.866055209940765,6
0.56,2.919074534437927,6
0.5700000000000001,2.9720938589350894,6
0.58,3.0251131834322504,6
0.59,3.078132507929413,6
0.6,3.131151832426575,6
0.61,3.922953663588652,6
0.62,4.7147554947507295,6
0.63,5.506557325912796,6
0.64,6.298359157074874,6
0.65,7.090160988236951,6
0.66,7.881962819399028,6
0.67,8.409971898809815,6
0.68,8.41039547471803,6
0.6900000000000001,8.410819050626245,6
