cdf,request_e2e_time,replica
0.11,12.686086436786754,5
0.12,13.335952293891138,5
0.13,13.985818150995524,5
0.14,14.465644387031329,5
0.15,14.860450812532845,5
0.16,15.25525723803436,5
0.17,15.650063663535876,5
0.18,16.044870089037392,5
0.19,16.43967651453891,5
0.2,16.834482940040424,5
0.21,17.246221333624067,5
0.22,17.65795972720771,5
0.23,18.069698120791358,5
0.24,18.481436514375,5
0.25,18.893174907958645,5
0.26,19.304913301542292,5
0.27,19.581013093519477,5
0.28,19.585835682283737,5
0.29,19.590658271048,5
0.3,19.595480859812263,5
0.31,19.600303448576526,5
0.32,19.60512603734079,5
0.33,19.609948626105048,5
0.34,19.81823946928882,5
0.35000000000000003,20.128264439682344,5
0.36,20.438289410075868,5
0.37,20.74831438046939,5
0.38,21.05833935086292,5
0.39,21.368364321256443,5
0.4,21.678389291649967,5
0.41000000000000003,21.69405764862631,5
0.42,21.709726005602654,5
0.43,21.725394362578996,5
0.44,21.74106271955534,5
0.45,21.756731076531683,5
0.46,21.772399433508028,5
0.47000000000000003,21.79419298916282,5
0.48,21.82823694217451,5
0.49,21.8622808951862,5
0.5,21.89632484819789,5
0.51,21.93036880120958,5
0.52,21.964412754221268,5
0.53,21.998456707232958,5
0.54,22.062085084132537,5
0.55,22.140505672976055,5
0.56,22.218926261819576,5
0.5700000000000001,22.297346850663097,5
0.58,22.375767439506618,5
0.59,22.45418802835014,5
0.6,22.53260861719366,5
0.61,22.54684666986127,5
0.62,22.56108472252888,5
0.63,22.57532277519649,5
0.64,22.5895608278641,5
0.65,22.603798880531713,5
0.66,22.61803693319932,5
0.67,22.675473483450453,5
0.68,22.81930702886862,5
0.6900000000000001,22.96314057428679,5
0.7000000000000001,23.10697411970496,5
0.71,23.25080766512313,5
0.72,23.3946412105413,5
0.73,23.53847475595947,5
0.74,23.66472254003249,5
0.75,23.78217744343293,5
0.76,23.89963234683337,5
0.77,24.017087250233814,5
0.78,24.134542153634253,5
0.79,24.251997057034696,5
0.8,24.369451960435136,5
0.81,24.409588825978286,5
0.8200000000000001,24.449725691521436,5
0.8300000000000001,24.489862557064583,5
0.84,24.529999422607734,5
0.85,24.570136288150884,5
0.86,24.610273153694035,5
0.87,24.70118343766431,5
0.88,24.893640558488823,5
0.89,25.086097679313337,5
0.9,25.278554800137854,5
0.91,25.47101192096237,5
0.92,25.663469041786882,5
0.93,25.8559261626114,5
0.9400000000000001,25.962945437897115,5
0.9500000000000001,26.02724579041343,5
0.96,26.09154614292975,5
0.97,26.155846495446067,5
0.98,26.220146847962386,5
0.99,26.284447200478702,5
1.0,26.34874755299502,5
0.0,3.7499099228441146,6
0.01,5.018543339646918,6
0.02,6.287176756449722,6
0.03,7.555810173252525,6
0.04,8.82444359005533,6
0.05,10.093077006858133,6
0.06,11.361710423660936,6
0.07,12.26100232108347,6
0.08,12.421611179745463,6
0.09,12.582220038407458,6
0.1,12.742828897069451,6
0.11,12.903437755731444,6
0.12,13.064046614393437,6
0.13,13.224655473055432,6
0.14,13.672353853162488,6
0.15,14.263596993992072,6
0.16,14.854840134821659,6
0.17,15.446083275651246,6
0.18,16.03732641648083,6
0.19,16.628569557310417,6
0.2,17.219812698140004,6
0.21,17.60347251523526,6
0.22,17.987132332330514,6
0.23,18.37079214942577,6
0.24,18.754451966521025,6
0.25,19.13811178361628,6
0.26,19.52177160071154,6
0.27,19.877375544483947,6
0.28,20.176867741610653,6
0.29,20.476359938737364,6
0.3,20.77585213586407,6
0.31,21.07534433299078,6
0.32,21.37483653011749,6
0.33,21.674328727244202,6
0.34,21.83979881362059,6
0.35000000000000003,21.938257844621816,6
0.36,22.036716875623043,6
0.37,22.135175906624273,6
0.38,22.2336349376255,6
0.39,22.33209396862673,6
0.4,22.430552999627956,6
0.41000000000000003,22.581662435578224,6
0.42,22.732771871528495,6
0.43,22.883881307478763,6
0.44,23.03499074342903,6
0.45,23.186100179379302,6
0.46,23.33720961532957,6
0.47000000000000003,23.446020479130535,6
0.48,23.4702341986329,6
0.49,23.494447918135265,6
0.5,23.518661637637628,6
0.51,23.54287535713999,6
0.52,23.567089076642354,6
0.53,23.59130279614472,6
0.54,23.721941147103387,6
0.55,23.9057918137902,6
0.56,24.089642480477014,6
0.5700000000000001,24.27349314716383,6
0.58,24.457343813850642,6
0.59,24.641194480537457,6
0.6,24.825045147224273,6
0.61,24.855975545133955,6
0.62,24.886905943043637,6
0.63,24.91783634095332,6
0.64,24.948766738863,6
0.65,24.979697136772685,6
