sep=;
IO Type;Instance Type;Storage Type;Redundancy;Utilization;AWS Instance Type;Rate Unit;2025 IMR;2024 IMR;2025 Public Price;2024 Public Price;2025 Discount Vs. Public price;2024 Discount Vs. Public price;IMR YoY%;Public Price YoY%;Discount Rate YoY%
;c6a.32xlarge;;;On Demand;;Hrs;0.420280962;0.412939175;4.896;4.896;91.4158300245;91.5657848243;1.7779342442;0;-0.163767285
;d3en.6xlarge;;;On Demand;;Hrs;0.343649029;0.408088846;3.154;3.154;89.1043427711;87.0612287254;-15.7906342287;0;2.3467553532
;r7g.4xlarge;;;On Demand;;Hrs;0.072240693;0.071072773;0.8568;0.8568;91.5685465686;91.7048584267;1.6432734375;0;-0.1486419154
;r7a.2xlarge;;;On Demand;;Hrs;0.040365769;0.041827467;0.6086;0.6086;93.3674385475;93.1272647059;-3.4945888547;0;0.2578985245
;c7g-flex.8xlarge;;;On Demand;;Hrs;0.081581167;0.086432989;;;;;-5.6133914332;;
;m7g-flex.medium;;;On Demand;;Hrs;0.002750628;;;;;;;;
;t3.2xlarge;;;On Demand;;Hrs;0.016824036;0.016824037;0.3328;0.3328;94.9447007212;94.9447004207;-0.0000059439;0;3.165e-7
;x2ezn.4xlarge;;;On Demand;;Hrs;;0.210168044;;;;;;;
;r5.24xlarge;;;On Demand;;Hrs;0.495502724;0.479350626;6.048;6.048;91.807163955;92.0742290675;3.3695789937;0;-0.2900541391
;x1e.8xlarge;;;On Demand;;Hrs;0.470318878;0.60990517;6.672;6.672;92.9508561451;90.8587354616;-22.8865566101;0;2.3026081894
;m8g.xlarge;;;On Demand;;Hrs;0.012225013;0.014475629;0.17952;0.17952;93.1901665553;91.936481172;-15.547621454;0;1.3636429928
;x1e.2xlarge;;;On Demand;;Hrs;0.117579719;0.152476292;1.668;1.668;92.9508561751;90.8587354916;-22.8865566852;0;2.3026081886
;c7g.8xlarge;;;On Demand;;Hrs;0.090645741;0.096036654;1.16;1.16;92.1857119828;91.7209781034;-5.6133911121;0;0.5066822106
;im4gn.8xlarge;;;On Demand;;Hrs;0.259146858;0.268872479;2.91034;2.91034;91.0956500615;90.7614753259;-3.6171872392;0;0.3681900657
;r6id.xlarge;;;On Demand;;Hrs;0.018712207;0.031380622;0.3024;0.3024;93.8121008598;89.6228101852;-40.3701845043;0;4.6743576395
;m6i.16xlarge;;;On Demand;;Hrs;0.22331645;0.277601873;3.072;3.072;92.7305843099;90.9634806966;-19.5551357105;0;1.9426517101
;r6id.16xlarge;;;On Demand;;Hrs;0.299395306;0.502089959;4.8384;4.8384;93.8121009838;89.6228100405;-40.3701865307;0;4.6743579468
;r7iz.xlarge;;;On Demand;;Hrs;0.025539612;0.028497289;0.372;0.372;93.1345129032;92.3394384409;-10.3788012958;0;0.8610345436
;g2.8xlarge;;;On Demand;;Hrs;0.42917734;0.42917734;2.6;2.6;83.4931792308;83.4931792308;0;0;0
;c5a.12xlarge;;;On Demand;;Hrs;0.160757468;0.154852191;1.848;1.848;91.3010028139;91.6205524351;3.8134927003;0;-0.3487750431
;t3.large;;;On Demand;;Hrs;0.004206009;0.004206009;0.0832;0.0832;94.9447007212;94.9447007212;0;0;0
;c6as.8xlarge;;;On Demand;;Hrs;0.105070241;;;;;;;;
;m5dn.2xlarge;;;On Demand;;Hrs;0.036886467;0.039463613;0.544;0.544;93.2193994485;92.745659375;-6.5304360247;0;0.5107948735
;c6in.16xlarge;;;On Demand;;Hrs;0.195755897;0.288355669;3.6288;3.6288;94.6054922564;92.0536907793;-32.113040233;0;2.7720794848
;x2iedn.24xlarge;;;On Demand;;Hrs;2.883587575;1.809446089;20.007;20.007;85.5871066377;90.9559349778;59.3630002314;0;-5.9026696184
;g5.4xlarge;;;On Demand;;Hrs;0.330086678;0.348287745;1.624;1.624;79.6744656404;78.5537102833;-5.2258706375;0;1.4267376462
;c7gn.16xlarge;;;On Demand;;Hrs;0.2480557;0.207091832;3.9936;3.9936;93.788669371;94.8144072516;19.7805329184;0;-1.0818375712
;c8g.48xlarge;;;On Demand;;Hrs;0.543874444;0.582145635;7.65696;7.65696;92.8969924879;92.3971702216;-6.5741609486;0;0.5409497554
;m5ad.12xlarge;;;On Demand;;Hrs;0.162189749;0.261736892;2.472;2.472;93.4389260113;89.4119380259;-38.033286878;0;4.5038594111
;x1e.16xlarge;;;On Demand;;Hrs;0.940637755;1.21981034;13.344;13.344;92.9508561526;90.8587354616;-22.8865566921;0;2.3026081976
;r5dn.16xlarge;;;On Demand;;Hrs;0.396135598;0.448760343;5.344;5.344;92.5872829716;91.6025384918;-11.7266923918;0;1.075018767
;t3a.2xlarge;;;On Demand;;Hrs;0.017328758;0.017328758;0.3008;0.3008;94.2391097074;94.2391097074;0;0;0
;x2iedn.2xlarge;;;On Demand;;Hrs;0.240298965;0.150787174;1.66725;1.66725;85.5871066127;90.9559349828;59.3630005958;0;-5.9026696511
;t4g.large;;;On Demand;;Hrs;0.002523605;0.002104795;0.0672;0.0672;96.2446354167;96.8678645833;19.8978997955;0;-0.6433807221
;c4.2xlarge;;;On Demand;;Hrs;0.034641958;0.034641958;0.398;0.398;91.2959904523;91.2959904523;0;0;0
;m5.16xlarge;;;On Demand;;Hrs;0.227782779;0.223165041;3.072;3.072;92.5851959961;92.7355129883;2.069203124;0;-0.1620921558
;m4.xlarge;;;On Demand;;Hrs;0.018217623;0.018217623;0.2;0.2;90.8911885;90.8911885;0;0;0
;i3en.24xlarge;;;On Demand;;Hrs;1.138288045;1.2546262;10.848;10.848;89.5069317386;88.4344929941;-9.272734381;0;1.2126928172
;m6as.large;;;On Demand;;Hrs;0.006978639;;;;;;;;
;r7a.8xlarge;;;On Demand;;Hrs;0.161463076;0.167309868;2.4344;2.4344;93.3674385475;93.1272647059;-3.4945888547;0;0.2578985245
