time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.074,0.075,0.07447619047619047,0.074,0.0004994327848429298,0.093,0.095,0.09390000000000001,0.094,0.00043588989435406776,0.372,0.373,0.37270000000000003,0.373,0.0004582575694955844,0.062,0.063,0.062150000000000004,0.062,0.00035707142142714284,0.371,0.371,0.3710000000000001,0.371,1.1102230246251565e-16,0.093,0.095,0.09375000000000001,0.094,0.0005361902647381809,3.1590000000000003,3.1790000000000003,3.169,3.1695,0.005403702434442516,0.421,0.423,0.42195,0.422,0.00038405728739343076,1.659,1.665,1.6631,1.6635,0.0014106735979666006,0.07,0.07200000000000001,0.07090000000000002,0.07100000000000001,0.0006244997998398404,12,2,1536,8960,151936,True,3712,1
0.073,0.076,0.0741904761904762,0.074,0.0006632565846278158,0.093,0.093,0.093,0.093,0.0,0.373,0.374,0.3736,0.374,0.0004898979485566361,0.061,0.062,0.061950000000000005,0.062,0.00021794494717703385,0.371,0.372,0.37174999999999997,0.372,0.0004330127018922197,0.093,0.093,0.093,0.093,0.0,3.149,3.165,3.1552,3.154,0.004643274706497529,0.418,0.419,0.41814999999999997,0.418,0.0003570714214271428,1.661,1.6640000000000001,1.6625,1.6625,0.0009219544457292956,0.07,0.07100000000000001,0.07025,0.07,0.0004330127018922198,12,2,1536,8960,151936,True,3680,1
0.07200000000000001,0.074,0.07352380952380953,0.074,0.0006632565846278127,0.092,0.093,0.0927,0.093,0.0004582575694955844,0.372,0.373,0.3726,0.373,0.0004898979485566361,0.061,0.062,0.0611,0.061,0.00030000000000000024,0.371,0.372,0.37135000000000007,0.371,0.0004769696007084733,0.092,0.093,0.0927,0.093,0.0004582575694955844,3.149,3.196,3.1606,3.1590000000000003,0.009329523031752492,0.41400000000000003,0.41500000000000004,0.41419999999999996,0.41400000000000003,0.0004000000000000004,1.659,1.674,1.6613000000000002,1.661,0.0031796226191169114,0.069,0.07,0.06935,0.069,0.0004769696007084732,12,2,1536,8960,151936,True,3648,1
0.07200000000000001,0.074,0.07276190476190476,0.073,0.0005259695722470071,0.091,0.092,0.09135,0.091,0.00047696960070847314,0.372,0.373,0.37295000000000006,0.373,0.0002179449471770339,0.061,0.061,0.060999999999999985,0.061,1.3877787807814457e-17,0.37,0.371,0.3709500000000001,0.371,0.00021794494717703385,0.091,0.092,0.09185000000000001,0.092,0.00035707142142714284,3.1510000000000002,3.173,3.16385,3.164,0.0046612766491595315,0.41000000000000003,0.41100000000000003,0.41055,0.41100000000000003,0.0004974937185533104,1.6560000000000001,1.6620000000000001,1.6589500000000001,1.659,0.0015960889699512227,0.068,0.07100000000000001,0.06895000000000001,0.069,0.0006689544080129831,12,2,1536,8960,151936,True,3616,1
0.07100000000000001,0.073,0.0722857142857143,0.07200000000000001,0.0005471012044321876,0.091,0.091,0.091,0.091,0.0,0.373,0.374,0.37350000000000005,0.3735,0.0005000000000000004,0.06,0.061,0.06010000000000001,0.06,0.0003000000000000003,0.371,0.371,0.3710000000000001,0.371,1.1102230246251565e-16,0.091,0.092,0.09129999999999999,0.091,0.00045825756949558437,3.037,3.069,3.0528,3.0525,0.00748064168370598,0.40700000000000003,0.40800000000000003,0.40775000000000006,0.40800000000000003,0.0004330127018922197,1.647,1.6620000000000001,1.6524999999999999,1.6515,0.004863126566315155,0.065,0.066,0.06534999999999999,0.065,0.0004769696007084732,12,2,1536,8960,151936,True,3584,1
0.069,0.07200000000000001,0.07119047619047619,0.07100000000000001,0.0006632565846278158,0.09,0.091,0.09055,0.091,0.0004974937185533104,0.373,0.374,0.37374999999999997,0.374,0.0004330127018922197,0.059000000000000004,0.06,0.059899999999999995,0.06,0.0002999999999999982,0.37,0.371,0.37075,0.371,0.0004330127018922197,0.089,0.091,0.08959999999999999,0.0895,0.0006633249580710807,3.033,3.0620000000000003,3.0496,3.051,0.00832105762508592,0.404,0.405,0.4043,0.404,0.0004582575694955844,1.645,1.666,1.6567,1.657,0.005129327441292858,0.064,0.066,0.06470000000000001,0.065,0.0006403124237432853,12,2,1536,8960,151936,True,3552,1
0.07,0.07200000000000001,0.07100000000000001,0.07100000000000001,0.0006172133998483683,0.089,0.09,0.08904999999999999,0.089,0.00021794494717703385,0.373,0.374,0.37310000000000004,0.373,0.00030000000000000024,0.059000000000000004,0.06,0.059199999999999996,0.059000000000000004,0.0003999999999999976,0.371,0.371,0.3710000000000001,0.371,1.1102230246251565e-16,0.089,0.09,0.08909999999999998,0.089,0.00030000000000000024,3.0340000000000003,3.049,3.0415,3.0425,0.005064582904840188,0.4,0.401,0.4001500000000001,0.4,0.0003570714214271428,1.639,1.657,1.6481000000000001,1.6480000000000001,0.004369210454990706,0.063,0.065,0.06405000000000001,0.064,0.00038405728739343076,12,2,1536,8960,151936,True,3520,1
0.069,0.07200000000000001,0.07052380952380954,0.07100000000000001,0.0006632565846278158,0.089,0.089,0.089,0.089,0.0,0.372,0.373,0.3728,0.373,0.00040000000000000034,0.058,0.059000000000000004,0.05884999999999999,0.059000000000000004,0.00035707142142714273,0.37,0.371,0.3709500000000001,0.371,0.00021794494717703385,0.088,0.089,0.08884999999999998,0.089,0.00035707142142714273,3.029,3.0540000000000003,3.0366,3.035,0.006110646446980918,0.396,0.398,0.397,0.397,0.0003162277660168382,1.641,1.655,1.64765,1.6475,0.004174625731727338,0.063,0.065,0.06350000000000001,0.063,0.0005916079783099622,12,2,1536,8960,151936,True,3488,1
0.068,0.07,0.06928571428571428,0.069,0.0006281383789653776,0.08700000000000001,0.088,0.0874,0.08700000000000001,0.0004898979485566293,0.372,0.373,0.3728,0.373,0.00040000000000000034,0.058,0.059000000000000004,0.05820000000000001,0.058,0.0004000000000000003,0.37,0.371,0.37025,0.37,0.0004330127018922197,0.08700000000000001,0.088,0.08724999999999998,0.08700000000000001,0.0004330127018922137,2.9250000000000003,2.948,2.9373500000000003,2.9375,0.00737749957641468,0.394,0.395,0.39405,0.394,0.00021794494717703385,1.643,1.655,1.6483500000000002,1.6480000000000001,0.003798354907061727,0.062,0.064,0.06264999999999998,0.063,0.0005722761571129803,12,2,1536,8960,151936,True,3456,1
0.068,0.07,0.06890476190476191,0.069,0.000525969572247013,0.08700000000000001,0.088,0.08705,0.08700000000000001,0.00021794494717703084,0.373,0.374,0.3731,0.373,0.00030000000000000024,0.057,0.058,0.05795,0.058,0.00021794494717703388,0.369,0.37,0.36939999999999995,0.369,0.000489897948556636,0.08700000000000001,0.08700000000000001,0.087,0.08700000000000001,1.3877787807814457e-17,2.924,2.947,2.9361,2.9365,0.006024118192731643,0.39,0.391,0.39065,0.391,0.0004769696007084733,1.641,1.661,1.65165,1.6520000000000001,0.005935275899231663,0.061,0.062,0.06174999999999999,0.062,0.00043301270189221973,12,2,1536,8960,151936,True,3424,1
